sample,population,phenotype,lane,fastq_1,fastq_2,bam
LU26_F,LU26,F,22LLYKLT4_2,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_F_22LLYKLT4_2.bam
LU26_F,LU26,F,22LLYKLT4_3,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_F_22LLYKLT4_3.bam
LU26_F,LU26,F,22LLYKLT4_L1,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_F_22LLYKLT4_L1.bam
LU26_M,LU26,M,22LK2CLT4_L4,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_M_22LK2CLT4_L4.bam
LU26_M,LU26,M,22LLYKLT4_L7,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_M_22LLYKLT4_L7.bam
LU26_M,LU26,M,22LM33LT4_L8,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_M_22LM33LT4_L8.bam
LU26_M,LU26,M,22YJ3LLT3_L6,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/LU26_M_22YJ3LLT3_L6.bam
PO21_F,PO21,F,22LLYKLT4_L7,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/PO21_F_22LLYKLT4_L7.bam
PO21_F,PO21,F,22LM33LT4_L4,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/PO21_F_22LM33LT4_L4.bam
PO21_M,PO21,M,22LLYKLT4_L7,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/PO21_M_22LLYKLT4_L7.bam
PO21_M,PO21,M,22LM33LT4_L5,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/PO21_M_22LM33LT4_L5.bam
ST24_F,ST24,F,S22LLYKLT4_L3,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_F_S22LLYKLT4_L3.bam
ST24_F,ST24,F,22LLYKLT4_L4,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_F_22LLYKLT4_L4.bam
ST24_F,ST24,F,22LLYKLT4_L5,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_F_22LLYKLT4_L5.bam
ST24_F,ST24,F,22LLYKLT4_L6,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_F_22LLYKLT4_L6.bam
ST24_F,ST24,F,22LM33LT4_L6,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_F_22LM33LT4_L6.bam
ST24_M,ST24,M,22LLYKLT4_L1,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_M_22LLYKLT4_L1.bam
ST24_M,ST24,M,22LLYKLT4_L2,,,/shared/ifbstor1/projects/resist_anasatum_sex_ratio_nanopore/variant_calling/results/poolseq/mapping/bwamem2/ST24_M_22LLYKLT4_L2.bam
